,FamilyType
16167,Female Head
5060,Female Head
5061,Female Head
5082,Female Head
16166,Female Head
5064,Female Head
5065,Female Head
5066,Female Head
5358,Female Head
5357,Female Head
5356,Female Head
5355,Female Head
5354,Female Head
16165,Female Head
9323,Female Head
9322,Female Head
5078,Female Head
5079,Female Head
5063,Female Head
5438,Female Head
4635,Female Head
4634,Female Head
4056,Female Head
5754,Female Head
5753,Female Head
19367,Female Head
15615,Female Head
19365,Female Head
5749,Female Head
5748,Female Head
4068,Female Head
5743,Female Head
5742,Female Head
5741,Female Head
9952,Female Head
9951,Female Head
9950,Female Head
9949,Female Head
9948,Female Head
9947,Female Head
9946,Female Head
9945,Female Head
9944,Female Head
9943,Female Head
9942,Female Head
15629,Female Head
15630,Female Head
9938,Female Head
9937,Female Head
5755,Female Head
5756,Female Head
5757,Female Head
5758,Female Head
9022,Female Head
9023,Female Head
9024,Female Head
9025,Female Head
10007,Female Head
9026,Female Head
18361,Female Head
9027,Female Head
5779,Female Head
9999,Female Head
4027,Female Head
5778,Female Head
19395,Female Head
9936,Female Head
9997,Female Head
5776,Female Head
9028,Female Head
9029,Female Head
9030,Female Head
9031,Female Head
5771,Female Head
9032,Female Head
5769,Female Head
9033,Female Head
4047,Female Head
5761,Female Head
5760,Female Head
5759,Female Head
5777,Female Head
15631,Female Head
4099,Female Head
5739,Female Head
5710,Female Head
5705,Female Head
5704,Female Head
5703,Female Head
9875,Female Head
9874,Female Head
5699,Female Head
5698,Female Head
5686,Female Head
19250,Female Head
19249,Female Head
5685,Female Head
15691,Female Head
5712,Female Head
5684,Female Head
5682,Female Head
5681,Female Head
5680,Female Head
5679,Female Head
15698,Female Head
5678,Female Head
5677,Female Head
5676,Female Head
5675,Female Head
5674,Female Head
5673,Female Head
9835,Female Head
9834,Female Head
5683,Female Head
5789,Female Head
5713,Female Head
15660,Female Head
5738,Female Head
5734,Female Head
5733,Female Head
5732,Female Head
5731,Female Head
5730,Female Head
5729,Female Head
9918,Female Head
9917,Female Head
9916,Female Head
5726,Female Head
9914,Female Head
5725,Female Head
9892,Female Head
9912,Female Head
5723,Female Head
15650,Female Head
19296,Female Head
19295,Female Head
5716,Female Head
9900,Female Head
5715,Female Head
5714,Female Head
15659,Female Head
9896,Female Head
9895,Female Head
9894,Female Head
4145,Female Head
5724,Female Head
10014,Female Head
9021,Female Head
19420,Female Head
5879,Female Head
5878,Female Head
15466,Female Head
15467,Female Head
10152,Female Head
16336,Female Head
16335,Female Head
16334,Female Head
8983,Female Head
10145,Female Head
5870,Female Head
5869,Female Head
15477,Female Head
10159,Female Head
5868,Female Head
3870,Female Head
15480,Female Head
15481,Female Head
5866,Female Head
10132,Female Head
5861,Female Head
5860,Female Head
5859,Female Head
10124,Female Head
10123,Female Head
10122,Female Head
15494,Female Head
15495,Female Head
5867,Female Head
19528,Female Head
10160,Female Head
10162,Female Head
3796,Female Head
10202,Female Head
5906,Female Head
8967,Female Head
5904,Female Head
8968,Female Head
8973,Female Head
5896,Female Head
5895,Female Head
5894,Female Head
5893,Female Head
3816,Female Head
5892,Female Head
10161,Female Head
5891,Female Head
15448,Female Head
15449,Female Head
8976,Female Head
19589,Female Head
15453,Female Head
15454,Female Head
5886,Female Head
5885,Female Head
5884,Female Head
5881,Female Head
5880,Female Head
10164,Female Head
10163,Female Head
3823,Female Head
9833,Female Head
19527,Female Head
15497,Female Head
5815,Female Head
15544,Female Head
19464,Female Head
3961,Female Head
10050,Female Head
10049,Female Head
10048,Female Head
10047,Female Head
10046,Female Head
10045,Female Head
16312,Female Head
19450,Female Head
5809,Female Head
5816,Female Head
5808,Female Head
10039,Female Head
15555,Female Head
16311,Female Head
5801,Female Head
5800,Female Head
5799,Female Head
10027,Female Head
15567,Female Head
15568,Female Head
19423,Female Head
